'Ref_name','codes','Did','years','last_n','first_n','dob','dod'
Fitzgerald,D,TFg,@1998,Fitzgerald,Thom,,
Fitzmaurice,D,GF,@1919-1932,Fitzmaurice,George,1885,1941
Fischler,D,SvF,@1983,Fischler,Steven,19xx,
Fisher,ED,TFi,@1947-1973,Fisher,Terrence,1904,1980
Fiveson,D,RFi,@1978,Fiveson,Robert S.td>,199x,
P.Flaherty,D,PaF,@1994,Flaherty,Paul,,
R.Flaherty,CD,RoF,@1920-1948,Flaherty,Robert J.,1884,1951
Flaubert,B,,,Flaubert,Guistine,,
Fleder,D,GFl,@1997,Fleder,Gary,19xx,199x
D.Fleischer,D,DFl,@1939-1941,Fleischer,Dave,,
M.Fleischer,P,,@1939-1941,Fleischer,Max,1889,1972
R.Fleischer,D,RiF,@1946-1984,Fleischer,Richard,1916,
Florentine,D,IsF,@1990,Florentine,Isaac,,
A.Fleming,D,AFl,@1994,Fleming,Arthur,,
I.Fleming,B,,1954=1999,Fleming,Ian Lancaster,,
V.Fleming,D,VF,@1920-1948,Fleming,Victor,1883,1949
Flender,D,RmF,@1994,Flender,Rodman,19xx,
Florey,DWAV,RFl,@1927-1964,Florey,Robert,1900,1979
Flood,D,JFl,@1936,Flood,James,,
J.Flynn,D,IFy,@1976-1994,Flynn,John,,
T.Flynn,D,TFy,@1993,Flynn,Tom,,
Foder,WD,LFo,@1958,Foder,Ladislav,,
Fokkema,D,FFo,@1990,Fokkema,Frouke,,
Foldes,D,LDF,@1983,Foldes,Lawrence D.,,
J.Foley,D,JmF,@1984-1992,Foley,James,,
M.Foley,D,MrF,@1998,Foley,Maureen,,
Folsey,C,,,Folsey,George,,
B.Forbes,AWDP,BFo,@1961-1980,Clarke,John,1926,
Forcier,D,MAF,@1985-1990,Forcier,Marc-Andre,,
A.Ford,D,AFo,@1953,Ford,Aleksander,,
H.Ford,D,HuF,@1919-1920,Ford,Hugh,,
J.Ford,D,IF,@1917-1966,O'Fearna,Sean (John),1895,1973
E.Forde,AD,EuF,@1933-1947,Forde,Eugene,1898,
W.Forde,AD,WaF,@1928-1948,Seymour,Thomas (Walter),1896,
Forman,D,MF,@1964-1996,Forman,Milos,1932,
Forst,AD,WFo,@1936-1939,Frohs,Willi,1903,
B.Forsyth,D,BiF,@1982-1994,Forsyth,Bill,,
E.Forsyth,D,EFo,@1975,Forsyth,Ed,,
Fortenberry,D,IFo,@1998,Fortenberry,John,,
Fosco,D,PFo,@1914,Pastrone,Giovanni (Piero),19xx,
Fosse,GDWP,BF,@1952-1983,Fosse,Bob,1927,1987
D.Foster,P,,1972-1942,Foster,David,,
J.Foster,AD,JoF,@1991,Foster,Jodie,1962,
L.R.Foster,WD,LRF,@1948-1958,Foster,Lewis R.,1899,1974
N.Foster,AD,NF,@1936-1965,Foster,Norman,1900,1976
Fowler,D,GFj,@1955-1959,Fowler,Gene jr.,,
W.Fox,D,WFx,@1942,Fox,W.,,
Frakes,D,JtF,@1996,Frakes,Jonathan,19xx,199x
Francia,D,AlF,@1968,Francia,Aldo,,
Franciolini,D,GiF,@1952,Franciolini,Gianni,,
Francis,CD,FrF,@1961-1974,Francis,Freddie,1917,
Francisci,D,PtF,@1954-1959,Francisci,Pietro,,
Franco,D,JFr,@1968-1970,Franco,Jesse (Jesus),,
Franju,D,GFr,@1949-1965,Franju,Georges,1912,1987
Ch.Frank,D,CFr,@1953,Frank,Charles,,
Frank,WPD,MFr,@1950-1979,Frank,Melvin,1917,1988
Frankel,DW,DvF,@1995,Frankel,David,19xx,
Frankenheimer,DP,IFr,@1957-1982,Frankenheimer,John,1930,
C.Franklin,AD,CaF,@1992,Franklin,Carl,,
Ch.Franklin,D,CMF,@1932,Franklin,Chester M.,,
H.Franklin,D,HwF,@1992,Franklin,Howard,,
R.Franklin,D,RFr,@1981,Franklin,Richard,,
S.Franklin,PD,SFr,@1916-1957,Franklin,Sidney,1893,1972
Fraser,D,HLF,@1950,Fraser,Harry L.,,
Frawley,D,JsF,@1976,Frawley,James,,
Frears,D,StF,@1971-1993,Frears,Stephen,1931,
Freda,D,RcF,@1946-1965,Freda,Riccardo,1909,
Freed,MP,,1929-1950,Freed,Arthur,,
Freedman,D,JrF,@1980,Freedman,Jerrold,,
Freeland,CD,ThF,@1929-1949,Freeland,Thornton,1898,
Freeman,D,MoF,@1993,Freeman,Morgan,1970,
Fregonese,D,HFr,@1950-1953,Fregonese,Hugo,1908,
H.French,APD,HaF,@1936-1955,French,Harold,1897,
L.French,D,LlF,@1933,French,Lloyd,,
Frend,ED,ChF,@1942-1967,Frend,Charles,1909,1977
Freund,CD,KFr,@1932,Freund,Karl,,
Freundlich,WD,BFr,@1997,Freundlich,Bart,,
Fricke,CD,RnF,@1986,Fricke,Ron,19xx,
Friedkin,D,WFr,@1964-1980,Friedkin,William,1939,
Friedman,D,HoF,@1990,Friedman,Howard,,
Friend,D,xFr,@1970,Friend,fn,,
Frost,D,LFr,@1962,Frost,Lee,,
Frohlich,D,xFl,@1931,Fröhlich,gn,,
Froemke,D,SuF,@1998,Froemke,Susan,,
Fruet,D,WlF,@1981,Fruet,William,,
Frye,WD,EMF,@1993,Frye,E. Max,,
Fucci,D,TAF,@1988,Fucci,Thomas A.,19xx,
Fuest,D,RFu,@1970-1976,Fuest,Robert,,
Fukasaku,BA,KFu,@1968-1980,Fukasakyu,Kinjo,,
Fuller,DPWA,SaF,@1949-1972,Fuller,Samuel,1911,1997
Fukuda,D,JuF,@1966-1975,Fukuda,Jun,,
Funari,D,VFu,@1999,Funari,Vicky,,
Anton Furst,V,,1989,Furst,Anton,,1991
Furtlinger,D,xFu,@1997,Furtlinger,fn1,19xx,199x
Furie,D,SJF,@1957-1983,Furie,Sidney J.,1933,
Gabel,D,SGa,@1997,Gabel,Shainee,,199x
Gad,D,UrG,@1911,Gad,Urban,19xx,
Gage,D,IGg,@1948,Gage,John,,
Gallo,WDA,VGa,@1998,Gallo,Vincent,,
Gallone,D,CGl,@1914-1962,Gallone,Carmine,1886,1973
Gallu,D,SaG,@1967,Gallu,Samuel,19xx,
Rita Gam,DP,RtG,@1990,Gam,Rita,1940,
Gance,DA,AG,@1919-1937,Gance,Abel,,1981
Gabriel Garcia,B,,1964-1991,Garcia Marquez,Gabriel,,
N.Garcia,D,NcG,@1998,Garcia,Nicole,,
R.Garcia,D,RsG,@1999,Garcia,Risa Bramon,,
Gardner,D,HGr,@1976,Gardner,Herb,,
Gardos,D,PGa,@1985,Gardos,Peter,,
Garfein,D,JGf,@1961,Garfein,Jack,,
Garnett,D,TG,@1928-1973,Garnett,Tay,1895,1977
Garrel,D,PhG,@1993,Garrel,Phillip,,199x
Garrett,D,LGr,@1980,Garrett,Lila,,
T.Garrett,D,TGr,@1983,Garrett,Tony,,
Garris,D,MkG,@1992,Garris,Mick,,
Gast,D,LoG,@1974-1997,Gast,Leon,,199x
Gastyne,D,xGa,@1929,Gastyne,gn,,
Gaugh,D,HoG,@1977,Gaugh,Homer,19xx,
Gaup,AD,NGp,@1990,Gaup,Nils,1955,
Gaziadis,D,DGz,@1929,Gaziadis,Dimitris,19xx,
Gazcon,D,GiG,@1966,Gazcon,Gilberto,,
David Geffen,X,,@191985-1994,Geffen,David,19xx,
Geller,D,DGl,@1993,Geller,Dan,19xx,
Gemes,D,JzG,@1994,Gemes,Jozsef,19xx,
Genet,D,JG,@1950,Genet,Jean,19xx,
Genina,D,AGe,@1923,Genina,Augusto,19xx,
George,D,BuG,@1913-1915,George,Burton,19xx,
Georgiadis,D,VGg,@1965,Georgiadis,Vassilis,19xx,
Gerima,D,HGe,@1993,Gerima,Haile,19xx,
Gering,DP,MGe,@1932-1950,Gering,Marion,1901,1977
Germi,D,PiG,@1945-1973,Germi,Pietro,1914,1974
Gerrard,D,GeG,@1931,Gerrard,Gene,,
George Gerhswin,M,,@1937,Gershwin,George,19xx,1937
Ira Gershwin,MW,,@1937,Gershwin,Ira,19xx,19xx
Gessner,D,NiG,@1976,Gessner,Nicolas,,
Getin,WD,SiG,@1987,Getin,Sinan,19xx,
Ghatak,D,RGt,@1955-1965,Ghatak,Ritwiik,19xx,19yy
Ghose,D,GGh,@1992-1994,Ghose,Goutam,19xx,
C.Gibbons,DV,CdG,@1934,Gibbons,Cedric,1915,1951
D.Gibbons,D,,,Gibbons,Duncan,1952,1993
J.Gibbons,AWD,JGb,@1990,Gibbons,Joe,,
A.Gibson,D,AlG,@1969-1984,Gibson,Alan,1938,
B.Gibson,D,BrG,@1986-1993,Gibson,Brian,,
M.Gibson,AD,MlG,@1993-1995,Gibson,Mel,,
B.Gilbert,D,BGt,@1995,Bilbert,Brian,19xx,
L.Gilbert,APD,LGt,@1947-1991,Gilbert,Lewis,1920,
Giler,D,DGi,@1975,Giler,David,,
Gillard,D,StG,@1981,Gillard,Stuart,,
Gillespie,D,JiG,@1997,Gillespie,Jim,19xx,199x
Gilliam,WAD,TGi,@1975-1998,Gilliam,Terry,1940,199x
Gilliat,WDP,SGi,@1943-1965,Gilliat,Sidney,1908,
Penelope Gilliatt,BW,,,Gilliatt,Penelope,1932,1993
Gilling,D,IGi,@1958-1960,Gilling,John,1912,
Gilroy,D,FDG,@1978,Gilroy,Frank D.,,
Ginsberg,D,MMG,@1973,Ginsberg,Milton Moses,19xx,
Gion,D,CGi,@1981,Gion,Christian,19xx,
B.Girard,D,BGi,@1962-1965,Girard,Bernard,,
F.Girard,D,FGd,@1994,Girard,Francois,,
Girault,D,JGi,@1963,Girault,Jean,19xx,
Girod,D,FGi,@1978,Girod,Francis,19xx,
Girdler,D,WGi,@1976-1978,Girdler,William,,
Gisler,DP,MaG,@1985,Gisler,Marcel,19xx,
Gitai,D,AGi,@1999,Gitaï,Amos,19xx,19yy
Glaser,D,PMG,@1987,Glaser,Paul Michael,,
Glassman,D,AGs,@1993,Glassman,Arnold,19xx,
Glatter,D,LLG,@1996,Glatter,Lesli Linka,,
Glatzer,WD,RGl,@1994,Glatzer,Richard,19xx,
Glen,D,IG,@1981-1989,Glen,John,,
Glenville,D,PeG,@1954-1967,Glenville,Peter,1913,
Glickenhaus,DW,JGl,@1980,Glickenhaus,James,,
Glickler,PD,PGl,@1991,Glickler,Paul,,
Glimcher,PD,AGl,@1991,Glimcher,Arnold,,
Glowna,D,VGl,@1992,Glowna,Vadim,19xx,
Goddard,D,JGd,@1992,Goddard,Jim,19xx,
Godard,DW,JLG,@1960-1980,Godard,Jean-Luc,1930,
Godfrey,APD,PGy,@1939-1956,Godfrey,Peter,1899,1970
Golan,DP,MeG,@1966-1979,Golan,Menahem,1931,
Gold,D,JGo,@1968-1988,Gold,Jack,1930,
Goldbeck,D,WGo,@1946,Goldbeck,Willis,,
Goldberg,D,GDG,@1989,Goldberg,Gary David,,
Goldfarb,D,LGG,@1980,Goldfarb,Lawrence G.,,
B.Goldman,W,,1975-1992,Goldman,Bo,19xx,199x
J.Goldman,BW,,1968-1976,Goldman,James,19xx,199x
W.Goldman,BW,,1968-1997,Goldman,William,19xx,199x
Goldsmith,M,,1959-1963,Goldsmith,Jerry,,
Goldstone,D,JGs,@1964-1980,Goldstone,James,1931,
S.Goldwyn,P,,,Goldfish,Sam,,
T.Goldwyn,AD,TGw,@1999,Goldwyn,Toni,,
Gonsalvi,D,AcG,@1913,Gonsalvi,Achille,19xx,
Goodchild,D,xGc,@1981,Goodchild,gn,,
Goodwin,D,FrG,@1991,Goodwin,Fred,19xx,
Goodwins,D,LeG,@1938-1954,Goodwins,Leslie,1899,1969
Gopalakrishnan,D,AGo,@1990,Gopalakrishnan,Adoor,,
B.Gordon,D,BIG,@1972,Gordon,Bert I.,,
K.Gordon,WD,KeG,@1992,Gordon,Keith,,
M.Gordon,D,MiG,@1942-1970,Gordon,Michael,1909,
Rbt.Gordon,D,RbG,@1955,Gordon,Robert,,
Rich.Gordon,P,,1978,Gordon,Richard,,
S.Gordon,D,SGo,@1981,Gordon,Steve,,
St.Gordon,D,SuG,@1981-1994,Gordon,Stuart,,
Gordy,D,BeG,@1976,Gordy,Berry,,
Goretta,D,CGo,@1976,Goretta,Charles,,
Gormley,D,CGy,@1987,Gormley,Charles,19xx,
Gornick,D,MGn,@1987,Gornick,Michael,,
Gorris,D,MGo,@1995,Gorris,Marleen,19xx,199x
Gosnell,D,RGo,@1999,Gosnell,Raja,,
Gottlieb,AWD,CaG,@1981,Gottlieb,Carl,,
Gould,D,CSG,@1955,Gould,C.S.,,
A.Goulding,D,AJG,@1925-1940,Goulding,Alfred J.,1896,1972
E.Goulding,DPW,EG,@1925-1958,Goulding,Edmund,1916,1973
Graham,D,WiG,@1969-1971,Graham,William,,
Grainger,P,,1935-1976,Grainger,J.Edmund,,
Grall,D,SeG,@1995,Grall,Sebastien,,
GranierDeferre,D,PGD,@1974,GranierDeferre,Pierre,19xx,
B.Grant,D,BnG,@1983-1997,Grant,Brian,,
J.E.Grant,D,JEG,@1947,Grant,James Edward,,
Grasshoff,D,AGr,@1977,Grasshoff,Alex,,
Grauman,D,WGr,@1969-1978,Grauman,Walter,,
G.Gray,D,GGy,@1998,Gray,gary,,199x
J.Gray,D,IGy,@1996,Gray,John,,199x
Grayson,D,GoG,@1950-1962,Grayson,Godfrey,,
A.E.Green,D,AEG,@1912-1953,Green,Alfred E.,1889,1960
David Green,D,DGr,@1988,Green,David,,
Guy Green,CD,GGr,@1954-1977,Green,Guy,1913,
H.A.Green,DP,HAG,@1960,Green,Hilton S.,,
W.Green,D,WaG,@1978,Green,Walton,,
D.Greene,D,DaG,@1974-1991,Greene,David,,
W.Greene,D,xGr,@1974,Greene,Un,,
Greenaway,D,PGr,@1985-1999,Greenaway,Peter,,
Greenhut,P,,1960-1985,Greenhut,Robert,,
Greenspan,D,BGr,@1980,Greenspan,Bud,,
M.Greenwald,D,MGw,@1988-1993,Greenwald,Margaret (Maggie),1958,
R.Greenwald,D,RGr,@1980-1990,Greenwald,Robert,,
Gremillon,MD,JGr,@1931-1949,Grémillon,Jean,1901,1958
Greville,D,ETG,@1931-1961,Gréville,Edmond T.,,
Greyson,D,IGs,@1988-1994,Greyson,John,,
Grieco,D,SGr,@1980,Grieco,Sergio,,
Gries,DPW,ToG,@1955-1980,Gries,Tom,1922,1977
Griffith,PD,DWG,@1908-1930,Griffith,David Wark,1874,1948
C.Griffith,D,CGr,@1976,Griffith,Charles,,
E.H.Griffith,D,EHG,@1921-1946,Griffith,Edward H.,1894,
R.Griffith,P,,@1935,Griffith,Raymond,,
M.Griffiths,D,MGr,@1984,Griffiths,Mark,,
Grigoriou,D,GrG,@1951,Grigoriou,Grigoris,,
Grimaldi,D,AuG,@1993,Grimaldi,Aurelio,19xx,
Grinde,D,NGr,@1930-1940,Grinde,Nick,,
Grosbard,D,UlG,@1968-1978,Grosbard,Ulu,1929,
Grossman,D,AGm,@1996,Grossman,Adam,,199x
Anton Grot,V,,1922-1945,Grot,Anton,19xx,
Davis Grubb,B,,1955-1964,Grubb,Davis,,
Grune,D,KGr,@1923-1937,Grune,Karl,1890,1962
Grusin,M,,1967-1989,Grusin,Dave,,
Guare,D,OhG,@1990,Guare,Ohn,,
Guazzoni,D,EGz,@1913,Guazzoni,Enrico,19xx,
Guber,P,,1968-1989,Guber,Peter,1942,
Guerra,D,RGu,@1988-1990,Guerra,Ruy,,
Ch.Guest,D,ChG,@1989-1997,Guest,Christopher,,
V.Guest,WPD,VGu,@1943-1983,Guest,Val,1911,
Guillermin,D,IGu,@1949-1984,Guillermin,John,1925,
Guitry,WDA,SG,@1915-1957,Guitry,Sacha,1885,1957
Guney,D,YlG,@1982,Güney,Ylmaz,,
Gunn,AD,BGu,@1973,Gunn,Bill,,
Gutierrez,D,SGu,@1998,Gutierrez,Sebastian,1970,
Guy,D,AlG,@1896-1908,Guy,Alice,18xx,
Gyllenhaal,D,SGy,@1992-1994,Gyllenhaal,Steve,,
C.Haas,WD,ChH,@1959-1963,Haas,Charles,,
G.Haas,D,GeH,@1999,Haas,George,,
H.Haas,WPDA,HgH,@1951,Haas,Hugo,,
P.Haas,D,PhH,@1993-1996,Haas,Philip,,
Hackford,DP,TaH,@1980-1997,Hackford,Taylor,,
Haggar,PD,WHa,@1902,Haggar,William,1851,1924
Haedrich,WD,RHd,@1963-1964,Haedrich,Rolf,,199x
Haggard,D,PHa,@1980,Haggard,Piers,,
Haines,D,RaH,@1989,Haines,Randa,,
Haldane,D,BHd,@1913,Haldane,Bert,,
J.Hale,D,JfH,@1968,Hale,Jeffrey,,
W.Hale,D,WiH,@1980,Hale,William,,
Haley,PD,JHr,@1974,Haley,Jack jr.,,
A.Hall,D,AlH,@1932-1956,Hall,Alexander,1894,1968
P.Hall,DP,PrH,@1983,Hall,Peter,,
V.C.Hall,D,VCH,@1997,Hall,Vondie Curtis,,199x
Hallenbeck,D,DrH,@1966,Hallenbeck,Darrell,,
Haller,VD,DnH,@1969,Haller,Danny,,
Hallstrom,D,LHa,@1987-1991,Hallström,Lasse,,
Halmi,P,,1995-1999,Halmi,"Robert, sr,-",19xx,19yy
Dname,D,Did,@1999,fname,xn,19xx,19yy
Halperin,D,VHa,@1932,Halperin,Victor,,
Hamer,WD,RHa,@1945-1960,Hamer,Robert,1911,1963
D.Hamilton,D,DdH,@1983,Hamilton,David,,
W.Hamilton,D,WlH,@1936,Hamilton,William,,
G.Hamilton,D,GH,@1952-1982,Hamilton,Guy,1922,
Hamm,D,NHa,@1998,Hamm,Nick,,
Dashiell Hammett,BW,,1931-1943,Hammett,Dashiell,1894,1961
Hampton,D,CHp,@1996,Hampton,Christopher,,199x
Hancock,D,IHc,@1973,Hancock,John,,
Hand,D,DvH,@1937,Hand,David,,
Handa,D,VHd,@1997,Handa,Vipin,,
Handke,DW,PeH,1988,Handke,Peter,,
Hani,D,SuH,@1955,Hani,Susumu,,
Hanks,AD,THk,@1992-1998,Hanks,Tom,19xx,
Hansen,D,RfH,@1937-1954,Hansen,Rolf,1907,1981
Hanson,D,CHa,@1982-1995,Hanson,Curtis,,
Hara,D,KHa,@1987,Hara,Kazuo,,
J.Hardy,D,JHy,@1978,Hardy,Joseph,,
R.Hardy,D,RHy,@1978,Hardy,Robin,,
Hark,DWP,TsH,@1986,Hark,Tsui,,
Harlan,D,VtH,@1936-1964,Harlan,Veit,1899,1964
Harlin,D,ReH,@1990-1993,Harlin,Renny,,
Harling,WD,RHg,@1996,Harling,Robert,,
Harlow,D,IHw,@1940,Harlow,John,,
Harmon,D,RbH,@1993,Harmon,Robert,19xx,
Harper,P,,1990,Harper,fn,,
Harrington,D,CuH,@1963-1985,Harrington,Curtis,1928,
Dm.Harris,D,DHr,@1991-1994,Harris,Damian,,
D.Harris,D,DeH,@1980,Harris,Denny,,
F.Harris,D,FrH,@1991,Harris,Frank,,
L.Harris,D,LlH,@1993,Harris,Leslie,,
J.B.Harris,PWD,JBH,@1965-1993,Harris,James B.,,
W.Harris,WDA,WHj,@1991,Harris,Wendell jr.,,
J.Harrison,WP,,1939-1965,Harrison,Joan,1915,
J.Harrison,D,IHs,@1990,Harrison,John,,
M.Harrison,D,MHa,@1997,Harrison,Matthew,19xx,199x
Harryhausen,V,,1953-1983,Harryhausen,Ray,,
Hart,D,HvH,@1963-1964,Hart,Harvey,,
Moss Hart,D,,@19dd,bn,gn,1904,1961
Hartley,WD,HlH,@1990-1991,Hartley,Hal,,
Hartman,WPD,DHa,@1947-1951,Hartman,Don (Samuel),1901,1958
A.Harvey,D,AHv,@1968,Harvey,Anthony,,
R.Harvey,D,RHv,@1987,Harvey,Rupert,,
Hathaway,D,HHa,@1932-1972,Hathaway,Henry,1998,
Haskin,DC,ByH,@1927-1967,Haskin,Byron,1899,
Hassani,D,LiH,@1990,Hasani,Linda,19xx,
Hastrup,D,JHa,@1998,Hastrup,Jannik,,
Hatta,WD,KHt,@1993,Hatta,Kayo,,
Haynes,D,THy,@1989-1995,Haynes,Todd,19xx,
Hawks,WEDP,HH,@1926-1970,Hawks,Howard,1896,1977
Hawn,D,GHa,@1998,Hawn,Goldie,,
Hayers,ED,SHa,@1958-1974,Hayers,Sidney,1921,
J.M.Hayes,W,,1954-1966,Hayes,John Michael,1919,
Edith Head,V,,1940,Head,Edith,,1981
Heap,D,JHp,@1993,Heap,Jonathan,,
Hecht,BWDP,BeH,@1935-1946,Hecht,Ben,1894,1964
Heckerling,D,AmH,@1982,Heckerling,Amy,,
Hedden,D,RgH,@1998,Hedden,Roger,,
Heer,D,JoH,@1985,Heer,Johanna,,
Heerman,D,ViH,@1920-1930,Heerman,Victor,1892,
Heffron,D,RHf,@1976,Heffron,Richard T.,,
Heisler,D,StH,@1941-1950,Heisler,Stuart,,
D.Heller,D,DHe,@1970,Heller,Daniel,,
O.Heller,C,,1936-1970,Heller,Otto,1896,1970
Hellinger,WP,,1946-,Hellinger,Mark,1904,1948
J.Hellman,DP,JeH,@1966,Hellman,Jerome,,
M.Hellman,D,MoH,@1972-1977,Hellman,Monte,,
O.Hellman,D,OlH,@1977,Assonitis,Sonia (Oliver),,
Hemecker,D,RHk,@1993,Hemecker,Ralph,19xx,
Hemings,AD,DaH,@1972-1978,Hemmings,David,1941,
Hendrie,D,JHd,@1989,Hendrie,James,19xx,
Henkel,D,KHe,@1997,Henkel,Kim,19xx,199x
Henley,D,HoH,@1930,Henley,Hobart,,
Hennenlotter,D,FHe,@1981-1990,Hennenlotter,Frank,,
A.HenningJensen,DA,AHJ,@1943-1978,Smahl,Astrid,1914,
B.HenningJensen,DWA,BHJ,@1941-1975,Henning-Jensen,Baree,1908,
Henreid,ADP,PaH,@1951-1965,von Henreid,Paul George Julius,1907,
Henriques,D,JHq,@1998,Henriques,Julian,,
Henry,WDA,BuH,@1978,Henry,Buck,,1992
Cheryl Henson,P,,1990,Henson,Cheryl,1951,
Jim Henson,P,,1990,Henson,Jim,,1989
R.Henson,D,RHe,@1990,Henson,Robbie,,
Henzell,D,PHz,@1973,Henzell,Perry,,
Herbrich,D,OvH,@1993,Herbrich,Oliver,19xx,
Herek,D,SHk,@1993-1998,Herek,Stephen,19xx,
Herk,DPWA,HHe,@1962,Harvey,Harold `Herk',1924,
Hermosillo,D,JHH,@1988,Hermosillo,Jaime Humberto,,
Heroux,D,DHx,@1980,Heroux,Denis,,
Herrington,D,RHr,@1992,Herrington,Rowdy,,
Herrmann,M,,1941-1976,Herrmann,Bernard,1911,1975
Herskovitz,D,MaH,@1993-1998,Herskovitz,Marshall,19xx,
Herz,D,xHe,@1982,Herz,,,
Herzog,D,WH,@1967-1999,Herzog,Werner,1942,
Herman,D,JHe,@1968,"J,Herman",Jean,19xx,
Herman,WD,MHe,@1997,M.Herman,Mark,19xx,
Herrmann,M,,,Herrmann,Bernard,,
Hessler,D,GoH,@1961-1978,Hessler,Gordon,1930,
Heston,AD,CH,@1971-1982,Carter,John Charlton,1924,
Heumann,D,EHe,@1998,Heumann,Eric,,
Hewitt,D,PHw,@1991,Hewitt,Pete,,
Heyes,WD,DoH,@1966,Heyes,Douglas,,
Heyward,P,,1964,Heyward,Loius M.,,
Hibbs,D,JHi,@1953-1958,Hibbs,Jesse,1906,
Se.Hicks,PAWD,SeH,@1922-1948,Hicks,Sir Seymour,1871,1949
Sc.Hicks,D,ScH,@1996,Hicks,Scott,,199x
Higgins,DW,CoH,@1971-1982,Higgins,Colin,,
B.Hill,D,BHl,@1940,Hill,Bob,,
G.Hill,D,GHl,@1923-1933,Hill,George,1888,1934
G.R.Hill,D,GRH,@1962-1984,Hill,George Roy,1922,
Jack Hill,D,JkH,@1965,Hill,Jack,,
J.Hill,WD,JaH,@1947-1973,Hill,James,1919,
R.F.Hill,D,,1938,Hill,Robert F.,,
R.Hill,W,,1960,Hill,Robert,,
S.Hill,DW,SiH,@1920-1938,Hill,Sinclair,1894,1945
W.Hill,WDP,WHl,@1975-1993,Hill,Walter,1942,
Hiller,D,ArH,@1957-1989,Hiller,Arthur,1923,
Hills,D,DHi,@1983,Hills,David,,
Hillyer,D,LaH,@1936,Hillyer,Lambert,,
Hilton,D,AtH,@1953,Hilton,Arthur,19xx,
Himena,D,TyH,@1977,Himena,Tadeyoshi,,
Hinds,PW,,1965,Hinds,Anthony,,
Hitchcock,DPA,H,@1925-1976,Hitchcock,Sir Alfred,1899,1981
Hirokawa,D,,1979,Hirokawa,Kazuyuki,,
Hirokazu,D,KHi,@1990,Hirokazu,Kore-eda,19xx,19yy
Hirsch,P,,@1998,Hirsch,Steven,1961,
Hirszman,D,LHz,@1964-1988,Hirszman,Leon,,1988
Hoblit,D,GHb,@1996,Hoblit,Gregory,,
Hochbaum,D,WeK,@1929,Hochbaum,Werner,,
Hodges,D,MHo,@1980,Hodges,Mike,,
Hodgson,C,,1909-1948,Hodgson,James Samuel,1890,1966
Hoellering,PWD,GHo,@1951,Hoellering,Goerge,1999,1980
H.Hoffman,D,HeH,@1955-1957,Hoffman,Herman,,
K.Hoffman,D,KuH,@1941-1958,Hoffman,Kurt,1912,
M.Hoffman,D,MiH,@1991,Hoffman,Michael,,
Hofsiss,D,JHs,@1982,Hofsiss,Jack,,
Hogan,D,DHg,@1996,Hogan,David,,
J.Hogan,D,JPH,@1937-1944,Hogan,James P.,1891,1943
P.Hogan,AWPD,PJH,@1994-1997,Hogan,Paul J.,,
Hal Holbrook,P,,@1970,Holbrook,Hal,19xx,199x
A.Holland,WD,AgH,@1988,Holland,Agnieszka,1948,
T.Holland,D,THo,@1985-1989,Holland,Ted,,
Holleb,D,AHo,@1988,Holleb,Alan,,
S.Holt,PED,SHo,@1958-1971,Holt,Seth,1923,1971
Honda,D,InH,@1957,Honda,Inoshiro,,
Hondo,WD,MdH,@1994,Hondo,Med,,
Hong,D,EHo,@1983,Hong,Elliot,,
Honigmann,D,HHm,@1999,Honigmann,Heddy,,
T.Hooper,D,ToH,@1974-1986,Hooper,Tobe,,
D.Hopper,AD,DHo,@1969-1988,Hopper,Dennis,1935,
E.Hopper,D,EMH,@1924,Hopper,E.Mason,,
J.Hopper,D,JHo,@1953-1970,Hopper,Jerry,1907,
Hooks,D,KeH,@1991,Hooks,Kevin,,
A.Hopkins,D,AHp,@1996,Hopkins,Anthony,,
S.Hopkins,D,SHp,@1991,Hopkins,Stephen,19xx,
Horman,D,ShH,@1981,Horman,Sherry,19xx,
Horn,D,LeH,@1959-1962,Leonard,Horn,,
Hornblow,P,,1929-1963,Hornblow,Arthur Jr.,1893,1983
Horne,D,JWH,@1920-1942,Horne,James W.,1880,1942
Horner,D,HHo,@1952-1956,Horner,Harry,,
Hoskins,AWD,BHo,@1989,Hoskins,Bob,,
Hossein,DA,RHn,@1964,Robert,Hossein,,
Houck,D,JHj,@1976,Houck,"Joy, jr.",,
Hough,D,IHk,@1971,Hough,John,,
Houseman,D,IHm,@1980,Houseman,John,,
Houston,D,RoH,@1980,Houston,Robert (Bobby),,
L.Howard,APD,LHo,@1941-1943,Stainer,Leslie,1890,1943
C.Howard,DW,CHo,@1969-1976,Howard,Cy,1915,
R.Howard,AD,RHo,@1982-1989,Howard,Ronald,1953,
W.K.Howard,D,WKH,@1924-1943,Howard,William K.,1899,1954
Howe,CD,JmH,"@1952, 1917-1975",Wong,Tung Jim,1899,1976
Howell,AD,CTH,@1996,Howell,C. Thomas,,
Howitt,D,PHo,@1998,Howitt,Peter,,
Howley,D,IHo,@1993,Howley,John,,
Hsiaahsien,D,HHH,@1995,Hsiaa-hsien,Hou,,199x
Hubbard,D,LuH,@1928-1929,Hubbard,Lucien,,
R.Hudlin,D,RnH,@1990,Hudlin,Reginald,,
W.Hudlin,D,WnH,@1990,Hudlin,Warrington,,
H.Hudson,D,HuH,@1982-1984,Hudson,Hugh,,
Alb.Hughes,D,AbH,@1992,Hughes,Albert,1973,
All.Hughes,P,,@1992,Hughes,Allen,1973,
